# tool-id <tab> bio.tools-id
abyss-pe	abyss
ip_mahotas_features	galaxy_image_analysis
ip_overlay_segmentation	galaxy_image_analysis
ip_points_to_binaryimage	galaxy_image_analysis
ip_visceral_evaluatesegmentation	galaxy_image_analysis
ip_binaryimage_to_points	galaxy_image_analysis
ip_slice_image	galaxy_image_analysis
ip_split_labelmap	galaxy_image_analysis
onto_tk_get_ancestor_terms	onto-tools
onto_tk_get_relationship_types	onto-tools
onto_tk_obo2rdf	onto-tools
onto_tk_get_parent_terms	onto-tools
onto_tk_get_parent_terms_by_relationship_type	onto-tools
onto_tk_get_terms	onto-tools
onto_tk_obo2owl	onto-tools
onto_tk_get_relationship_id_vs_relationship_namespace	onto-tools
onto_tk_get_term_synonyms	onto-tools
onto_tk_get_descendent_terms	onto-tools
onto_tk_term_id_vs_term_name	onto-tools
onto_tk_get_child_terms	onto-tools
onto_tk_get_subontology_from	onto-tools
onto_tk_get_relationship_id_vs_relationship_def	onto-tools
onto_tk_get_terms_by_relationship_type	onto-tools
onto_tk_get_root_terms	onto-tools
onto_tk_get_relationship_id_vs_relationship_name	onto-tools
ucsc_cell_browser	ucsc_genome_browser
scanpy_find_markers	scanpy
scanpy_scale_data	scanpy
scanpy_run_umap	scanpy
scanpy_run_tsne	scanpy
scanpy_run_pca	scanpy
scanpy_read_10x	scanpy
scanpy_normalise_data	scanpy
scanpy_find_variable_genes	scanpy
scanpy_find_cluster	scanpy
scanpy_filter_genes	scanpy
scanpy_filter_cells	scanpy
scanpy_compute_graph	scanpy
scanpy_parameter_iterator	scanpy
scanpy_plot_trajectory	scanpy
scmap_index_cell	scmap
sam_merge2	picard_tools
sam_pileup	samtools
samtools_flagstat	samtools
samtools_mpileup	samtools
samtools_rmdup	samtools
samtools_slice_bam	samtools
gatk_count_covariates	gatk
spring_model	spring
spring_minz	spring
spring_cross	spring
pubmed_by_queries	pubmed
text_to_wordmatrix	pubmed
abstracts_by_pmids	pubmed
pmids_to_pubtator_matrix	pubmed
spring_model_all	spring
spring_map	spring
spring_mcc	spring
length_and_gc_content	r
malt_run	malt
maaslin2	MaAsLin 2
Kraken2Tax	kraken2tax
instrain_profile	inStrain
humann_strain_profiler	humann3
humann_split_stratified_table	humann3
humann_rename_table	humann3
humann_join_tables	humann3
humann_associate	humann3
humann_regroup_table	humann3
humann	humann3
humann_split_table	humann3
humann_renorm_table	humann3
humann_barplot	humann3
bio_hansel	bio_hansel
staramr_search	staramr
humann_reduce_table	humann3
humann_rna_dna_norm	humann3
humann_unpack_pathways	humann3
# testing tool mapping for test case
cheetah_problem_unbound_var_input	bwa
