sg	trm	hm	xyz
63	-c,b,a	A m a m	x,y,z;x-1/2,-y,-z;-x-1/2,y,-z;-x,-y,z;-x,-y,-z;-x-1/2,y,z;x-1/2,-y,z;x,y,-z;x,y+1/2,z+1/2;x-1/2,-y+1/2,-z+1/2;-x-1/2,y+1/2,-z+1/2;-x,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;-x-1/2,y+1/2,z+1/2;x-1/2,-y+1/2,z+1/2;x,y+1/2,-z+1/2
63	b,c,a	B b m m	x,y,z;-x,y+1/2,-z;x,-y+1/2,-z;-x,-y,z;-x,-y,-z;x,-y+1/2,z;-x,y+1/2,z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y,-z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y,-z+1/2
63	a,-c,b	B m m b	x,y,z;-x,y-1/2,-z;-x,-y-1/2,z;x,-y,-z;-x,-y,-z;x,-y-1/2,z;x,y-1/2,-z;-x,y,z;x+1/2,y,z+1/2;-x+1/2,y-1/2,-z+1/2;-x+1/2,-y-1/2,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,-y-1/2,z+1/2;x+1/2,y-1/2,-z+1/2;-x+1/2,y,z+1/2
64	a,b,c	C m c e	x,y,z;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;x,-y,-z;-x,-y,-z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2;-x+1/2,y+1/2,z
64	b,a,-c	C c m e	x,y,z;-x+1/2,-y,z-1/2;x+1/2,-y,-z-1/2;-x,y,-z;-x,-y,-z;x+1/2,y,-z-1/2;-x+1/2,y,z-1/2;x,-y,z;x+1/2,y+1/2,z;-x,-y+1/2,z-1/2;x,-y+1/2,-z-1/2;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x,y+1/2,-z-1/2;-x,y+1/2,z-1/2;x+1/2,-y+1/2,z
64	c,a,b	A e m a	x,y,z;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2;-x,y,-z;-x,-y,-z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x,-y,z;x,y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,z;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x,-y+1/2,z+1/2
64	-c,b,a	A e a m	x,y,z;x-1/2,-y+1/2,-z;-x-1/2,y+1/2,-z;-x,-y,z;-x,-y,-z;-x-1/2,y+1/2,z;x-1/2,-y+1/2,z;x,y,-z;x,y+1/2,z+1/2;x-1/2,-y,-z+1/2;-x-1/2,y,-z+1/2;-x,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;-x-1/2,y,z+1/2;x-1/2,-y,z+1/2;x,y+1/2,-z+1/2
64	b,c,a	B b e m	x,y,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x,-y,z;-x,-y,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x,y,-z;x+1/2,y,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y,-z+1/2
64	a,-c,b	B m e b	x,y,z;-x,y-1/2,-z+1/2;-x,-y-1/2,z+1/2;x,-y,-z;-x,-y,-z;x,-y-1/2,z+1/2;x,y-1/2,-z+1/2;-x,y,z;x+1/2,y,z+1/2;-x+1/2,y-1/2,-z;-x+1/2,-y-1/2,z;x+1/2,-y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,-y-1/2,z;x+1/2,y-1/2,-z;-x+1/2,y,z+1/2
65	a,b,c	C m m m	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x,-y,-z;x,y,-z;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
65	c,a,b	A m m m	x,y,z;x,-y,-z;-x,-y,z;-x,y,-z;-x,-y,-z;-x,y,z;x,y,-z;x,-y,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
65	b,c,a	B m m m	x,y,z;-x,y,-z;x,-y,-z;-x,-y,z;-x,-y,-z;x,-y,z;-x,y,z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y,-z+1/2;x+1/2,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
66	a,b,c	C c c m	x,y,z;-x,-y,z;-x,y,-z+1/2;x,-y,-z+1/2;-x,-y,-z;x,y,-z;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
66	c,a,b	A m a a	x,y,z;x,-y,-z;-x+1/2,-y,z;-x+1/2,y,-z;-x,-y,-z;-x,y,z;x+1/2,y,-z;x+1/2,-y,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
66	b,c,a	B b m b	x,y,z;-x,y,-z;x,-y+1/2,-z;-x,-y+1/2,z;-x,-y,-z;x,-y,z;-x,y+1/2,z;x,y+1/2,-z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,-y,-z+1/2;x+1/2,-y,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
67	a,b,c	C m m a (C m m e)	x,y,z;-x,-y+1/2,z;-x,y+1/2,-z;x,-y,-z;-x,-y,-z;x,y+1/2,-z;x,-y+1/2,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y,z;-x+1/2,y,-z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y,-z;x+1/2,-y,z;-x+1/2,y+1/2,z
67	b,a,-c	C m m b (C m m e)	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z;x,-y,z;x+1/2,y+1/2,z;-x,-y+1/2,z;x,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x,y+1/2,-z;-x,y+1/2,z;x+1/2,-y+1/2,z
67	c,a,b	A b m m (A e m m)	x,y,z;x,-y,-z+1/2;-x,-y,z+1/2;-x,y,-z;-x,-y,-z;-x,y,z+1/2;x,y,-z+1/2;x,-y,z;x,y+1/2,z+1/2;x,-y+1/2,-z;-x,-y+1/2,z;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;-x,y+1/2,z;x,y+1/2,-z;x,-y+1/2,z+1/2
67	-c,b,a	A c m m (A e m m)	x,y,z;x,-y+1/2,-z;-x,y+1/2,-z;-x,-y,z;-x,-y,-z;-x,y+1/2,z;x,-y+1/2,z;x,y,-z;x,y+1/2,z+1/2;x,-y,-z+1/2;-x,y,-z+1/2;-x,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;-x,y,z+1/2;x,-y,z+1/2;x,y+1/2,-z+1/2
67	b,c,a	B m c m (B m e m)	x,y,z;-x+1/2,y,-z;x+1/2,-y,-z;-x,-y,z;-x,-y,-z;x+1/2,-y,z;-x+1/2,y,z;x,y,-z;x+1/2,y,z+1/2;-x,y,-z+1/2;x,-y,-z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y,-z+1/2;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y,-z+1/2
67	a,-c,b	B m a m (B m e m)	x,y,z;-x,y,-z+1/2;-x,-y,z+1/2;x,-y,-z;-x,-y,-z;x,-y,z+1/2;x,y,-z+1/2;-x,y,z;x+1/2,y,z+1/2;-x+1/2,y,-z;-x+1/2,-y,z;x+1/2,-y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,-y,z;x+1/2,y,-z;-x+1/2,y,z+1/2
68	a,b,c	C c c a (C c c e)  [origin 2]	x,y,z;-x+1/2,-y,z;-x,y,-z+1/2;x+1/2,-y,-z+1/2;-x,-y,-z;x+1/2,y,-z;x,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;-x,-y+1/2,z;-x+1/2,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x,y+1/2,-z;x+1/2,-y+1/2,z+1/2;-x,y+1/2,z+1/2
68	b,a,-c	C c c b (C c c e) :2	x,y,z;-x,-y+1/2,z;x,-y,-z-1/2;-x,y+1/2,-z-1/2;-x,-y,-z;x,y+1/2,-z;-x,y,z-1/2;x,-y+1/2,z-1/2;x+1/2,y+1/2,z;-x+1/2,-y,z;x+1/2,-y+1/2,-z-1/2;-x+1/2,y,-z-1/2;-x+1/2,-y+1/2,-z;x+1/2,y,-z;-x+1/2,y+1/2,z-1/2;x+1/2,-y,z-1/2
68	c,a,b	A b a a (A e a a) :2	x,y,z;x,-y+1/2,-z;-x+1/2,-y,z;-x+1/2,y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x+1/2,y,-z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;x,-y,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y,-z+1/2;-x,-y+1/2,-z+1/2;-x,y,z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y,z+1/2
68	-c,b,a	A c a a (A e a a) :2	x,y,z;x,-y,-z+1/2;-x-1/2,y,-z;-x-1/2,-y,z+1/2;-x,-y,-z;-x,y,z+1/2;x-1/2,-y,z;x-1/2,y,-z+1/2;x,y+1/2,z+1/2;x,-y+1/2,-z;-x-1/2,y+1/2,-z+1/2;-x-1/2,-y+1/2,z;-x,-y+1/2,-z+1/2;-x,y+1/2,z;x-1/2,-y+1/2,z+1/2;x-1/2,y+1/2,-z
68	b,c,a	B b c b (B b e b) :2	x,y,z;-x,y,-z+1/2;x,-y+1/2,-z;-x,-y+1/2,z+1/2;-x,-y,-z;x,-y,z+1/2;-x,y+1/2,z;x,y+1/2,-z+1/2;x+1/2,y,z+1/2;-x+1/2,y,-z;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z;-x+1/2,-y,-z+1/2;x+1/2,-y,z;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z
68	a,-c,b	B b a b (B b e b) :2	x,y,z;-x+1/2,y,-z;-x,-y-1/2,z;x+1/2,-y-1/2,-z;-x,-y,-z;x+1/2,-y,z;x,y-1/2,-z;-x+1/2,y-1/2,z;x+1/2,y,z+1/2;-x,y,-z+1/2;-x+1/2,-y-1/2,z+1/2;x,-y-1/2,-z+1/2;-x+1/2,-y,-z+1/2;x,-y,z+1/2;x+1/2,y-1/2,-z+1/2;-x,y-1/2,z+1/2
68	a,b,c;0,1/4,1/4	C c c a (C c c e) :1	x,y,z;-x+1/2,-y-1/2,z;-x,y,-z;x+1/2,-y-1/2,-z;-x,-y-1/2,-z-1/2;x+1/2,y,-z-1/2;x,-y-1/2,z+1/2;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;-x,-y,z;-x+1/2,y+1/2,-z;x,-y,-z;-x+1/2,-y,-z-1/2;x,y+1/2,-z-1/2;x+1/2,-y,z+1/2;-x,y+1/2,z+1/2
68	b,a,-c;0,1/4,1/4	C c c b (C c c e) :1	x,y,z;-x-1/2,-y+1/2,z;x,-y,-z;-x-1/2,y+1/2,-z;-x-1/2,-y,-z+1/2;x,y+1/2,-z+1/2;-x-1/2,y,z-1/2;x,-y+1/2,z-1/2;x+1/2,y+1/2,z;-x,-y,z;x+1/2,-y+1/2,-z;-x,y,-z;-x,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x,y+1/2,z-1/2;x+1/2,-y,z-1/2
68	c,a,b;0,1/4,1/4	A b a a (A e a a) :1	x,y,z;x,-y+1/2,-z-1/2;-x,-y,z;-x,y+1/2,-z-1/2;-x-1/2,-y,-z-1/2;-x-1/2,y+1/2,z;x+1/2,y,-z-1/2;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;x,-y,-z;-x,-y+1/2,z+1/2;-x,y,-z;-x-1/2,-y+1/2,-z;-x-1/2,y,z+1/2;x+1/2,y+1/2,-z;x+1/2,-y,z+1/2
68	-c,b,a;0,1/4,1/4	A c a a (A e a a) :1	x,y,z;x,-y-1/2,-z+1/2;-x,y,-z;-x,-y-1/2,z+1/2;-x+1/2,-y-1/2,-z;-x+1/2,y,z+1/2;x-1/2,-y-1/2,z;x-1/2,y,-z+1/2;x,y+1/2,z+1/2;x,-y,-z;-x,y+1/2,-z+1/2;-x,-y,z;-x+1/2,-y,-z+1/2;-x+1/2,y+1/2,z;x-1/2,-y,z+1/2;x-1/2,y+1/2,-z
68	b,c,a;0,1/4,1/4	B b c b (B b e b) :1	x,y,z;-x-1/2,y,-z+1/2;x,-y,-z;-x-1/2,-y,z+1/2;-x-1/2,-y-1/2,-z;x,-y-1/2,z+1/2;-x-1/2,y+1/2,z;x,y+1/2,-z+1/2;x+1/2,y,z+1/2;-x,y,-z;x+1/2,-y,-z+1/2;-x,-y,z;-x,-y-1/2,-z+1/2;x+1/2,-y-1/2,z;-x,y+1/2,z+1/2;x+1/2,y+1/2,-z
68	a,-c,b;0,1/4,1/4	B b a b (B b e b) :1	x,y,z;-x+1/2,y,-z-1/2;-x,-y,z;x+1/2,-y,-z-1/2;-x,-y+1/2,-z-1/2;x+1/2,-y+1/2,z;x,y-1/2,-z-1/2;-x+1/2,y-1/2,z;x+1/2,y,z+1/2;-x,y,-z;-x+1/2,-y,z+1/2;x,-y,-z;-x+1/2,-y+1/2,-z;x,-y+1/2,z+1/2;x+1/2,y-1/2,-z;-x,y-1/2,z+1/2
69	a,b,c	F m m m	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x,-y,-z;x,y,-z;x,-y,z;-x,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
70	a,b,c	F d d d  [origin 2]	x,y,z;-x+3/4,-y+3/4,z;-x+3/4,y,-z+3/4;x,-y+3/4,-z+3/4;-x,-y,-z;x+1/4,y+1/4,-z;x+1/4,-y,z+1/4;-x,y+1/4,z+1/4;x,y+1/2,z+1/2;-x+3/4,-y+1/4,z+1/2;-x+3/4,y+1/2,-z+1/4;x,-y+1/4,-z+1/4;-x,-y+1/2,-z+1/2;x+1/4,y+3/4,-z+1/2;x+1/4,-y+1/2,z+3/4;-x,y+3/4,z+3/4;x+1/2,y,z+1/2;-x+1/4,-y+3/4,z+1/2;-x+1/4,y,-z+1/4;x+1/2,-y+3/4,-z+1/4;-x+1/2,-y,-z+1/2;x+3/4,y+1/4,-z+1/2;x+3/4,-y,z+3/4;-x+1/2,y+1/4,z+3/4;x+1/2,y+1/2,z;-x+1/4,-y+1/4,z;-x+1/4,y+1/2,-z+3/4;x+1/2,-y+1/4,-z+3/4;-x+1/2,-y+1/2,-z;x+3/4,y+3/4,-z;x+3/4,-y+1/2,z+1/4;-x+1/2,y+3/4,z+1/4
70	a,b,c;-1/8,-1/8,-1/8	F d d d :1	x,y,z;-x+505/12,-y+505/12,z;-x+505/12,y,-z+505/12;x,-y+505/12,-z+505/12;-x+124/3,-y+124/3,-z+124/3;x+1/4,y+1/4,-z+124/3;x+1/4,-y+124/3,z+1/4;-x+124/3,y+1/4,z+1/4;x,y+1/2,z+1/2;-x+505/12,-y+499/12,z+1/2;-x+505/12,y+1/2,-z+499/12;x,-y+499/12,-z+499/12;-x+124/3,-y+251/6,-z+251/6;x+1/4,y+3/4,-z+251/6;x+1/4,-y+251/6,z+3/4;-x+124/3,y+3/4,z+3/4;x+1/2,y,z+1/2;-x+499/12,-y+505/12,z+1/2;-x+499/12,y,-z+499/12;x+1/2,-y+505/12,-z+499/12;-x+251/6,-y+124/3,-z+251/6;x+3/4,y+1/4,-z+251/6;x+3/4,-y+124/3,z+3/4;-x+251/6,y+1/4,z+3/4;x+1/2,y+1/2,z;-x+499/12,-y+499/12,z;-x+499/12,y+1/2,-z+505/12;x+1/2,-y+499/12,-z+505/12;-x+251/6,-y+251/6,-z+124/3;x+3/4,y+3/4,-z+124/3;x+3/4,-y+251/6,z+1/4;-x+251/6,y+3/4,z+1/4
71	a,b,c	I m m m	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x,-y,-z;x,y,-z;x,-y,z;-x,y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
72	a,b,c	I b a m	x,y,z;-x,-y,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x,-y,-z;x,y,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x,y,-z+1/2;x,-y,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x,-y,z+1/2;-x,y,z+1/2
72	c,a,b	I m c b	x,y,z;x,-y,-z;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;-x,y,z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,z;-x+1/2,y,-z;-x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y,-z;x+1/2,-y,z
72	b,c,a	I c m a	x,y,z;-x,y,-z;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2;-x,-y,-z;x,-y,z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x,-y+1/2,-z;-x,-y+1/2,z;-x+1/2,-y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;-x,y+1/2,z;x,y+1/2,-z
73	a,b,c	I b c a	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;-x,-y,-z;x+1/2,y,-z+1/2;x,-y+1/2,z+1/2;-x+1/2,y+1/2,z;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z;-x+1/2,y,-z;x,-y,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x,y+1/2,-z;x+1/2,-y,z;-x,y,z+1/2
73	b,a,-c	I c a b	x,y,z;-x,-y+1/2,z-1/2;x+1/2,-y,-z-1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x,y+1/2,-z-1/2;-x+1/2,y,z-1/2;x+1/2,-y+1/2,z;x+1/2,y+1/2,z-1/2;-x+1/2,-y,z;x,-y+1/2,-z;-x,y,-z-1/2;-x+1/2,-y+1/2,-z-1/2;x+1/2,y,-z;-x,y+1/2,z;x,-y,z-1/2
74	a,b,c	I m m a	x,y,z;-x,-y+1/2,z;-x,y+1/2,-z;x,-y,-z;-x,-y,-z;x,y+1/2,-z;x,-y+1/2,z;-x,y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2;-x+1/2,y+1/2,z+1/2
74	b,a,-c	I m m b	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z;x,-y,z;x+1/2,y+1/2,z-1/2;-x,-y+1/2,z-1/2;x,-y+1/2,-z-1/2;-x+1/2,y+1/2,-z-1/2;-x+1/2,-y+1/2,-z-1/2;x,y+1/2,-z-1/2;-x,y+1/2,z-1/2;x+1/2,-y+1/2,z-1/2
74	c,a,b	I b m m	x,y,z;x,-y,-z+1/2;-x,-y,z+1/2;-x,y,-z;-x,-y,-z;-x,y,z+1/2;x,y,-z+1/2;x,-y,z;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z+1/2
74	-c,b,a	I c m m	x,y,z;x,-y+1/2,-z;-x,y+1/2,-z;-x,-y,z;-x,-y,-z;-x,y+1/2,z;x,-y+1/2,z;x,y,-z;x-1/2,y+1/2,z+1/2;x-1/2,-y,-z+1/2;-x-1/2,y,-z+1/2;-x-1/2,-y+1/2,z+1/2;-x-1/2,-y+1/2,-z+1/2;-x-1/2,y,z+1/2;x-1/2,-y,z+1/2;x-1/2,y+1/2,-z+1/2
74	b,c,a	I m c m	x,y,z;-x+1/2,y,-z;x+1/2,-y,-z;-x,-y,z;-x,-y,-z;x+1/2,-y,z;-x+1/2,y,z;x,y,-z;x+1/2,y+1/2,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
74	a,-c,b	I m a m	x,y,z;-x,y,-z+1/2;-x,-y,z+1/2;x,-y,-z;-x,-y,-z;x,-y,z+1/2;x,y,-z+1/2;-x,y,z;x+1/2,y-1/2,z+1/2;-x+1/2,y-1/2,-z;-x+1/2,-y-1/2,z;x+1/2,-y-1/2,-z+1/2;-x+1/2,-y-1/2,-z+1/2;x+1/2,-y-1/2,z;x+1/2,y-1/2,-z;-x+1/2,y-1/2,z+1/2
75	a,b,c	P 4	x,y,z;-x,-y,z;-y,x,z;y,-x,z
75	a-b,a+b,c	C 4	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z
76	a,b,c	P 41	x,y,z;-x,-y,z+1/2;-y,x,z+1/4;y,-x,z+3/4
76	a-b,a+b,c	C 41	x,y,z;-x,-y,z+1/2;-y,x,z+1/4;y,-x,z+3/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+1/4;y+1/2,-x+1/2,z+3/4
77	a,b,c	P 42	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2
77	a-b,a+b,c	C 42	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2
78	a,b,c	P 43	x,y,z;-x,-y,z+1/2;-y,x,z+3/4;y,-x,z+1/4
78	a-b,a+b,c	C 43	x,y,z;-x,-y,z+1/2;-y,x,z+3/4;y,-x,z+1/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+3/4;y+1/2,-x+1/2,z+1/4
79	a,b,c	I 4	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2
79	a-b,a+b,c	F 4	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z
80	a,b,c	I 41	x,y,z;-x+1/2,-y+1/2,z+1/2;-y,x+1/2,z+1/4;y+1/2,-x,z+3/4;x+1/2,y+1/2,z+1/2;-x,-y,z;-y+1/2,x,z+3/4;y,-x+1/2,z+1/4
80	a-b,a+b,c	F 41	x,y,z;-x,-y+1/2,z+1/2;-y-1/4,x+1/4,z+1/4;y+1/4,-x+1/4,z+3/4;x,y+1/2,z+1/2;-x,-y,z;-y+1/4,x+1/4,z+3/4;y-1/4,-x+1/4,z+1/4;x+1/2,y+1/2,z;-y+1/4,x+3/4,z+1/4;y+3/4,-x+3/4,z+3/4;-x+1/2,-y+1/2,z;-y+3/4,x+3/4,z+3/4;y+1/4,-x+3/4,z+1/4
81	a,b,c	P -4	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z
81	a-b,a+b,c	C -4	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
82	a,b,c	I -4	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2
82	a-b,a+b,c	F -4	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;y,-x+1/2,-z+1/2;-y,x+1/2,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
83	a,b,c	P 4/m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z
83	a-b,a+b,c	C 4/m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
84	a,b,c	P 42/m	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-x,-y,-z;x,y,-z;y,-x,-z+1/2;-y,x,-z+1/2
